Time,Altitude,Vertical acceleration,Lateral acceleration
19.322,7969.519,-1.449,0.123
19.372,7980.971,-1.444,0.128
19.422,7992.387,-1.44,0.128
19.472,8003.769,-1.435,0.131
19.522,8015.115,-1.428,0.144
19.572,8026.426,-1.424,0.146
19.622,8037.703,-1.423,0.136
19.672,8048.944,-1.423,0.121
19.722,8060.151,-1.423,0.103
19.772,8071.323,-1.425,0.081
19.822,8082.459,-1.427,0.062
19.872,8093.561,-1.424,0.057
19.922,8104.628,-1.419,0.062
19.972,8115.66,-1.41,0.081
20.022,8126.658,-1.399,0.108
20.072,8137.621,-1.389,0.137
20.122,8148.55,-1.38,0.16
20.172,8159.445,-1.376,0.16
20.222,8170.307,-1.374,0.153
20.272,8181.135,-1.373,0.143
20.322,8191.929,-1.376,0.12
20.372,8202.689,-1.379,0.093
20.422,8213.416,-1.381,0.075
20.472,8224.109,-1.382,0.06
20.522,8234.768,-1.383,0.045
20.572,8245.393,-1.38,0.043
20.622,8255.984,-1.371,0.062
20.672,8266.542,-1.362,0.085
20.722,8277.066,-1.352,0.111
20.772,8287.557,-1.342,0.137
20.822,8298.015,-1.334,0.155
20.872,8308.441,-1.331,0.154
20.922,8318.834,-1.331,0.144
20.972,8329.194,-1.331,0.131
21.022,8339.521,-1.335,0.103
21.072,8349.816,-1.339,0.078
21.122,8360.078,-1.342,0.059
21.172,8370.307,-1.344,0.041
21.222,8380.504,-1.343,0.035
21.272,8390.667,-1.337,0.045
21.322,8400.797,-1.328,0.067
21.372,8410.895,-1.317,0.095
21.422,8420.961,-1.309,0.117
21.472,8430.994,-1.301,0.136
21.522,8440.996,-1.295,0.148
21.572,8450.966,-1.294,0.141
21.622,8460.904,-1.296,0.121
21.672,8470.81,-1.298,0.107
21.722,8480.685,-1.297,0.101
21.772,8490.528,-1.299,0.085
21.822,8500.338,-1.302,0.065
21.872,8510.117,-1.306,0.044
21.922,8519.864,-1.308,0.028
21.972,8529.579,-1.308,0.019
22.022,8539.262,-1.305,0.018
22.072,8548.913,-1.297,0.035
22.122,8558.532,-1.287,0.06
22.172,8568.119,-1.275,0.093
22.222,8577.675,-1.263,0.127
22.272,8587.201,-1.254,0.152
22.322,8596.695,-1.249,0.161
22.372,8606.159,-1.247,0.16
22.422,8615.592,-1.249,0.145
22.472,8624.995,-1.252,0.121
22.522,8634.367,-1.256,0.098
22.572,8643.708,-1.261,0.074
22.622,8653.018,-1.267,0.048
22.672,8662.297,-1.271,0.026
22.722,8671.545,-1.272,0.017
22.772,8680.762,-1.269,0.021
22.822,8689.948,-1.265,0.026
22.872,8699.102,-1.259,0.04
22.922,8708.226,-1.252,0.054
22.972,8717.319,-1.242,0.078
23.022,8726.382,-1.233,0.102
23.072,8735.415,-1.23,0.105
23.122,8744.417,-1.228,0.105
23.172,8753.389,-1.224,0.109
23.222,8762.331,-1.222,0.11
23.272,8771.243,-1.22,0.11
23.322,8780.126,-1.219,0.105
23.372,8788.978,-1.222,0.09
23.422,8797.801,-1.224,0.074
23.472,8806.593,-1.226,0.063
23.522,8815.355,-1.227,0.054
23.572,8824.088,-1.228,0.045
23.622,8832.79,-1.228,0.038
23.672,8841.462,-1.227,0.034
23.722,8850.104,-1.226,0.032
23.772,8858.716,-1.221,0.04
23.822,8867.298,-1.215,0.055
23.872,8875.85,-1.209,0.067
23.922,8884.373,-1.205,0.072
23.972,8892.866,-1.201,0.08
24.022,8901.33,-1.197,0.087
24.072,8909.764,-1.194,0.089
24.122,8918.169,-1.191,0.095
24.172,8926.545,-1.189,0.094
24.222,8934.892,-1.186,0.098
24.272,8943.209,-1.184,0.1
24.322,8951.498,-1.184,0.093
24.372,8959.757,-1.186,0.08
24.422,8967.988,-1.189,0.066
24.472,8976.189,-1.189,0.06
24.522,8984.361,-1.19,0.053
24.572,8992.504,-1.192,0.042
24.622,9000.618,-1.194,0.033
24.672,9008.703,-1.193,0.031
24.722,9016.758,-1.189,0.037
24.772,9024.784,-1.187,0.04
24.822,9032.781,-1.186,0.038
24.872,9040.749,-1.183,0.042
24.922,9048.688,-1.178,0.051
24.972,9056.598,-1.172,0.065
25.022,9064.479,-1.168,0.07
25.072,9072.332,-1.166,0.07
25.122,9080.156,-1.163,0.074
25.172,9087.952,-1.161,0.077
25.222,9095.719,-1.157,0.085
25.272,9103.457,-1.154,0.089
25.322,9111.168,-1.154,0.084
25.372,9118.85,-1.154,0.079
25.422,9126.504,-1.154,0.076
25.472,9134.13,-1.154,0.07
25.522,9141.727,-1.156,0.058
25.572,9149.296,-1.159,0.045
25.622,9156.836,-1.161,0.036
25.672,9164.349,-1.162,0.03
25.722,9171.832,-1.162,0.027
25.772,9179.287,-1.159,0.03
25.822,9186.714,-1.157,0.032
25.872,9194.112,-1.154,0.035
25.922,9201.482,-1.149,0.046
25.972,9208.824,-1.143,0.059
26.022,9216.138,-1.139,0.068
26.072,9223.424,-1.135,0.073
26.122,9230.682,-1.132,0.078
26.172,9237.912,-1.13,0.08
26.222,9245.115,-1.129,0.08
26.272,9252.29,-1.129,0.077
26.322,9259.437,-1.129,0.072
26.372,9266.557,-1.13,0.065
26.422,9273.649,-1.132,0.057
26.472,9280.713,-1.133,0.051
26.522,9287.749,-1.133,0.046
26.572,9294.758,-1.133,0.044
26.622,9301.738,-1.134,0.038
26.672,9308.691,-1.135,0.03
26.722,9315.617,-1.134,0.031
26.772,9322.514,-1.132,0.032
26.822,9329.384,-1.131,0.032
26.872,9336.226,-1.13,0.033
26.922,9343.04,-1.128,0.034
26.972,9349.826,-1.126,0.036
27.022,9356.585,-1.122,0.042
27.072,9363.317,-1.118,0.049
27.122,9370.021,-1.113,0.059
27.172,9376.697,-1.109,0.067
27.222,9383.347,-1.107,0.069
27.272,9389.969,-1.107,0.066
27.322,9396.564,-1.107,0.063
27.372,9403.133,-1.105,0.063
27.422,9409.674,-1.103,0.066
27.472,9416.187,-1.102,0.066
27.522,9422.674,-1.102,0.064
27.572,9429.134,-1.102,0.06
27.622,9435.567,-1.103,0.054
27.672,9441.973,-1.104,0.051
27.722,9448.352,-1.104,0.048
27.772,9454.704,-1.104,0.047
27.822,9461.028,-1.105,0.041
27.872,9467.326,-1.109,0.029
27.922,9473.596,-1.111,0.02
27.972,9479.839,-1.111,0.018
28.022,9486.055,-1.11,0.019
28.072,9492.244,-1.107,0.024
28.122,9498.405,-1.106,0.023
28.172,9504.54,-1.105,0.023
28.222,9510.647,-1.103,0.023
28.272,9516.728,-1.101,0.026
28.322,9522.781,-1.097,0.034
28.372,9528.807,-1.093,0.041
28.422,9534.807,-1.09,0.045
28.472,9540.78,-1.086,0.051
28.522,9546.726,-1.081,0.061
28.572,9552.646,-1.078,0.067
28.622,9558.539,-1.075,0.072
28.672,9564.406,-1.071,0.08
28.722,9570.247,-1.07,0.08
28.772,9576.062,-1.071,0.074
28.822,9581.85,-1.072,0.069
28.872,9587.612,-1.074,0.062
28.922,9593.347,-1.076,0.056
28.972,9599.057,-1.077,0.051
29.022,9604.74,-1.079,0.044
29.072,9610.396,-1.083,0.035
29.122,9616.026,-1.084,0.03
29.172,9621.629,-1.086,0.024
29.222,9627.206,-1.089,0.015
29.272,9632.755,-1.093,0.006
29.322,9638.279,-1.094,0.001
29.372,9643.775,-1.094,7.14E-04
29.422,9649.244,-1.094,0.002
29.472,9654.687,-1.091,0.002
29.522,9660.103,-1.088,0.008
29.572,9665.492,-1.083,0.015
29.622,9670.855,-1.078,0.022
29.672,9676.191,-1.075,0.029
29.722,9681.501,-1.07,0.035
29.772,9686.785,-1.067,0.042
29.822,9692.042,-1.062,0.05
29.872,9697.273,-1.057,0.06
29.922,9702.479,-1.053,0.067
29.972,9707.659,-1.05,0.071
30.022,9712.813,-1.048,0.074
30.072,9717.941,-1.046,0.076
30.122,9723.044,-1.047,0.074
30.172,9728.121,-1.046,0.073
30.222,9733.172,-1.046,0.071
30.272,9738.198,-1.047,0.068
30.322,9743.198,-1.049,0.06
30.372,9748.172,-1.052,0.053
30.422,9753.12,-1.055,0.045
30.472,9758.043,-1.057,0.04
30.522,9762.94,-1.058,0.036
30.572,9767.811,-1.062,0.028
30.622,9772.655,-1.065,0.021
30.672,9777.474,-1.068,0.013
30.722,9782.266,-1.072,0.005
30.772,9787.033,-1.076,0.002
30.822,9791.772,-1.078,0.008
30.872,9796.486,-1.079,0.01
30.922,9801.173,-1.079,0.01
30.972,9805.833,-1.077,0.009
31.022,9810.467,-1.075,0.007
31.072,9815.075,-1.072,0.002
31.122,9819.656,-1.068,0.003
31.172,9824.212,-1.064,0.009
31.222,9828.741,-1.059,0.016
31.272,9833.244,-1.054,0.023
31.322,9837.721,-1.049,0.031
31.372,9842.173,-1.044,0.037
31.422,9846.599,-1.041,0.043
31.472,9851,-1.036,0.051
31.522,9855.375,-1.032,0.058
31.572,9859.725,-1.03,0.061
31.622,9864.049,-1.03,0.059
31.672,9868.348,-1.028,0.06
31.722,9872.623,-1.026,0.063
31.772,9876.872,-1.026,0.063
31.822,9881.095,-1.024,0.064
31.872,9885.294,-1.024,0.063
31.922,9889.468,-1.025,0.06
31.972,9893.616,-1.024,0.061
32.022,9897.74,-1.024,0.06
32.072,9901.838,-1.026,0.055
32.122,9905.911,-1.028,0.05
32.172,9909.959,-1.03,0.045
32.222,9913.981,-1.034,0.038
32.272,9917.979,-1.038,0.03
32.322,9921.951,-1.041,0.023
32.372,9925.897,-1.044,0.019
32.422,9929.818,-1.047,0.013
32.472,9933.713,-1.049,0.009
32.522,9937.582,-1.051,0.006
32.572,9941.426,-1.054,0.001
32.622,9945.243,-1.055,0.001
32.672,9949.035,-1.055,6.12E-04
32.722,9952.801,-1.054,8.16E-04
32.772,9956.541,-1.051,0.003
32.822,9960.256,-1.05,0.004
32.872,9963.944,-1.051,0.003
32.922,9967.607,-1.048,0.006
32.972,9971.245,-1.046,0.008
33.022,9974.856,-1.045,0.009
33.072,9978.442,-1.043,0.011
33.122,9982.002,-1.039,0.015
33.172,9985.537,-1.035,0.021
33.222,9989.047,-1.032,0.024
33.272,9992.531,-1.03,0.026
33.322,9995.99,-1.028,0.028
33.372,9999.424,-1.025,0.031
33.422,1.00E+04,-1.023,0.033
33.472,1.00E+04,-1.022,0.034
33.522,1.00E+04,-1.02,0.036
33.572,1.00E+04,-1.018,0.037
33.622,1.00E+04,-1.015,0.041
33.672,1.00E+04,-1.012,0.045
33.722,1.00E+04,-1.01,0.047
33.772,1.00E+04,-1.01,0.046
33.822,1.00E+04,-1.012,0.043
33.872,1.00E+04,-1.011,0.043
33.922,1.00E+04,-1.01,0.044
33.972,1.00E+04,-1.01,0.044
34.022,1.00E+04,-1.009,0.044
34.072,1.00E+04,-1.01,0.043
34.122,1.01E+04,-1.011,0.039
34.172,1.01E+04,-1.012,0.037
34.222,1.01E+04,-1.012,0.036
34.272,1.01E+04,-1.013,0.035
34.322,1.01E+04,-1.013,0.034
34.372,1.01E+04,-1.014,0.032
34.422,1.01E+04,-1.017,0.028
34.472,1.01E+04,-1.019,0.025
34.522,1.01E+04,-1.02,0.024
34.572,1.01E+04,-1.021,0.021
34.622,1.01E+04,-1.024,0.018
34.672,1.01E+04,-1.025,0.017
34.722,1.01E+04,-1.025,0.016
34.772,1.01E+04,-1.027,0.014
34.822,1.01E+04,-1.028,0.012
34.872,1.01E+04,-1.029,0.011
34.922,1.01E+04,-1.03,0.01
34.972,1.01E+04,-1.031,0.008
35.022,1.01E+04,-1.032,0.008
